Apartment ID	Bitrix Additional ID	Alma External ID	Alma Additional ID	Ext ID Match	Add ID Match	Has Add ID	Alma Name	Error
1754	1722	1754	1722	YES	YES	YES	Ap. 711. Azizi Riviera 41, apt. 310	
1746	1714	1746	1714	YES	YES	YES	Ap. 704. Marina Star, apt. S902	
1742	1710	1742	1710	YES	YES	YES	Ap. 702. REVA RESIDENCES , apt. 2108	
1726	1694	1726	1694	YES	YES	YES	Ap. 697. Silverene Tower, apt. 2106	
1724	1692	1724	1692	YES	YES	YES	Ap. 668. CLAREN TOWER 2, apt. 1902	
1698	1668	1698	1668	YES	YES	YES	Ap. 641. La Cote Building 1, apt. 410	
1682	1652	1682	1652	YES	YES	YES	Ap. 531.  The Paragon by IGO, apt. 605	
1680	1650	1680	1650	YES	YES	YES	Ap. 664. The Paragon  by  IGO, apt. 2106	
1678	1648	1678	1648	YES	YES	YES	Ap. 682. Prive Residence, apt. 906	
1672	1642	1672	1642	YES	YES	YES	Ap. 657. Socio Tower 2, apt. 104	
1664	1632	1664	1632	YES	YES	YES	Ap. 672. Park View Tower, apt. 109	
1662	1630	1662	1630	YES	YES	YES	Ap. 647. THE COVE Building 1 , apt. 1407	
1660	1626	1660	1626	YES	YES	YES	Ap. 636. La Voile - Building 1, apt. 312	
1658	1624	1658	1624	YES	YES	YES	Ap. 643. La Cote Building 5, apt. 404	
1656	1622	1656	1622	YES	YES	YES	Ap. 646. Bluewaters Residences 2, apt. 405	
1654	1620	1654	1620	YES	YES	YES	Ap. 645. One Za'abeel The Residences, apt. 20-03	
1638	1600	1638	1600	YES	YES	YES	Ap. 626. MED 67, apt. 507	
1620	1580	1620	1580	YES	YES	YES	Ap. 650. Golf Vista Tower A, apt. G+P 04	
1614	N/A	N/A	N/A	NO	NO	N/A	N/A	Alma API error: HTTP 404
1610	1570	1610	1570	YES	YES	YES	Ap. 584. ZUMURUD, apt. 1304	
1596	1554	1596	1554	YES	YES	YES	Ap. 630. ICON 2, apt. 710	
1586	1546	1586	1546	YES	YES	YES	Ap. 502.  Prive by Damac A, apt. 402	
1584	1544	1584	1544	YES	YES	YES	Ap. 618. The Sterling East House, apt. 212	
1580	1540	1580	1540	YES	YES	YES	Ap. 620. Oxford 212, apt. 313	
1578	1538	1578	1538	YES	YES	YES	Ap. 619. Executive Residences, apt. 106	
1574	1534	1574	1534	YES	YES	YES	Ap. 610. Central Park , apt. 101	
1568	1528	1568	1528	YES	YES	YES	Ap. 600. Time Place Tower, apt. 1608	
1558	1518	1558	1518	YES	YES	YES	Ap. 603. Urban Oasis, apt. 2601	
1556	1516	1556	1516	YES	YES	YES	Ap. 601. Princess Tower, apt.  3509	
1552	1512	1552	1512	YES	YES	YES	Ap. 563. Goldcrest Views 2, apt. 1110	
1544	1504	1544	1504	YES	YES	YES	Ap. 560.  Socio Tower 1, apt.  419	
1532	1492	1532	1492	YES	YES	YES	Ap. 588. CREEK EDGE Tower 1, apt.  907	
1518	1468	1518	1468	YES	YES	YES	Ap. 590. Binghatti Heights, apt. 1404	
